reference,title,status,filename,source_url,bytes,notes
57,DynSTGAT: Dynamic Spatial-Temporal Graph Attention Network for Traffic Signal Control,not downloaded,,,0,"DOI=10.1145/3459637.3482254 | https://arxiv.org/pdf/2109.05491.pdf -> curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404 | https://export.arxiv.org/pdf/2109.05491 -> curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404 | https://arxiv.org/pdf/2109.05491 -> curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404 | http://arxiv.org/abs/2109.05491 -> HTML without matching downloadable PDF | https://doi.org/10.1145/3459637.3482254 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://dl.acm.org/doi/10.1145/3459637.3482254 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://dl.acm.org/doi/pdf/10.1145/3459637.3482254 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403"
59,EGAT: Edge-Featured Graph Attention Network,likely paywalled; no verified public copy found,,,0,DOI=10.1007/978-3-030-86362-3_21 | https://link.springer.com/content/pdf/10.1007/978-3-030-86362-3_21.pdf -> HTML without matching downloadable PDF | https://link.springer.com/chapter/10.1007/978-3-030-86362-3_21 -> HTML without matching downloadable PDF | https://doi.org/10.1007/978-3-030-86362-3_21 -> HTML without matching downloadable PDF | https://link.springer.com/content/pdf/10.1007/978-3-030-86362-3_21 -> HTML without matching downloadable PDF | https://link.springer.com/10.1007/978-3-030-86362-3_21 -> HTML without matching downloadable PDF
61,A Graph Deep Reinforcement Learning Traffic Signal Control for Multiple Intersections Considering Missing Data,likely paywalled; no verified public copy found,,,0,DOI=10.1109/TVT.2024.3444475 | https://doi.org/10.1109/tvt.2024.3444475 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx8/25/10807699/10637721.pdf?arnumber=10637721 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/10637721/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/TVT.2024.3444475 -> HTML without matching downloadable PDF
62,Traffic Signal Timing via Deep Reinforcement Learning,not downloaded,,,0,"DOI=10.1109/JAS.2016.7508798 | https://www.ieee-jas.com/fileZDHXBEN/journal/article/zdhxbywb/2016/3/PDF/20160303.pdf -> curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404 | https://jas.ia.ac.cn/fileZDHXBEN/journal/article/zdhxbywb/2016/3/PDF/20160303.pdf -> curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404
curl: (22) The requested URL returned error: 404 | https://www.ieee-jas.com/article/id/c5bdbe80-d3b0-4a3d-b34e-1420cf2f77cd -> HTML without matching downloadable PDF | https://doi.org/10.1109/jas.2016.7508798 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/6570654/7508793/07508798.pdf?arnumber=7508798 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/7508798/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/JAS.2016.7508798 -> HTML without matching downloadable PDF"
64,Dueling Double Deep Q-Network for Adaptive Traffic Signal Control with Low Exhaust Emissions in a Single Intersection,not downloaded,,,0,DOI=10.1088/1757-899X/612/5/052039 | https://iopscience.iop.org/article/10.1088/1757-899X/612/5/052039/pdf -> Not PDF (14375 bytes) | https://iopscience.iop.org/article/10.1088/1757-899X/612/5/052039 -> Not PDF (14375 bytes) | https://doi.org/10.1088/1757-899x/612/5/052039 -> Not PDF (14375 bytes) | https://doi.org/10.1088/1757-899X/612/5/052039 -> Not PDF (14375 bytes)
65,Intelligent Traffic Signal Control with Deep Reinforcement Learning at Single Intersection,likely paywalled; no verified public copy found,,,0,"DOI=10.1145/3467707.3467767 | https://doi.org/10.1145/3467707.3467767 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://dl.acm.org/doi/10.1145/3467707.3467767 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403 | https://dl.acm.org/doi/pdf/10.1145/3467707.3467767 -> curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403
curl: (22) The requested URL returned error: 403"
66,Deep Deterministic Policy Gradient for Traffic Signal Control of Single Intersection,likely paywalled; no verified public copy found,,,0,DOI=10.1109/CCDC.2019.8832406 | https://doi.org/10.1109/ccdc.2019.8832406 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/8822348/8832328/08832406.pdf?arnumber=8832406 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/8832406/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/CCDC.2019.8832406 -> HTML without matching downloadable PDF
68,Vehicle-Level Fairness-Oriented Constrained Multi-Agent Reinforcement Learning for Adaptive Traffic Signal Control,likely paywalled; no verified public copy found,,,0,DOI=10.1109/TITS.2025.3544223 | https://doi.org/10.1109/tits.2025.3544223 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx8/6979/10945245/10907776.pdf?arnumber=10907776 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/10907776/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/TITS.2025.3544223 -> HTML without matching downloadable PDF
71,A Spatial-Temporal Graph Attention Network for Multi-Intersection Traffic Light Control,likely paywalled; no verified public copy found,,,0,DOI=10.1109/IJCNN52387.2021.9533335 | https://figshare.com/articles/conference_contribution/A_Spatial-Temporal_Graph_Attention_Network_for_Multi-intersection_Traffic_Light_Control/20641563 -> HTML without matching downloadable PDF | https://doi.org/10.1109/ijcnn52387.2021.9533335 -> HTML without matching downloadable PDF | http://doi.org/10.1109/IJCNN52387.2021.9533335 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/9533266/9533267/09533335.pdf?arnumber=9533335 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/9533335/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/IJCNN52387.2021.9533335 -> HTML without matching downloadable PDF
72,Meta-Learning Based Spatial-Temporal Graph Attention Network for Traffic Signal Control,likely paywalled; no verified public copy found,,,0,"DOI=10.1016/j.knosys.2022.109166 | https://doi.org/10.1016/j.knosys.2022.109166 -> HTML without matching downloadable PDF | https://api.elsevier.com/content/article/PII:S0950705122005809?httpAccept=text/xml -> Not PDF (1840 bytes) | https://api.elsevier.com/content/article/PII:S0950705122005809?httpAccept=text/plain -> curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400
curl: (22) The requested URL returned error: 400 | https://linkinghub.elsevier.com/retrieve/pii/S0950705122005809 -> HTML without matching downloadable PDF"
