reference,title,status,filename,source_url,bytes,notes
56,STMARL: A Spatio-Temporal Multi-Agent Reinforcement Learning Approach for Cooperative Traffic Light Control,downloaded,56_STMARL_A_Spatio_Temporal_Multi_Agent_Reinforcement_Learning_Approach_for_Cooperative_Traffic_Light_Control.pdf,https://arxiv.org/pdf/1908.10577,1432512,"PDF verified; title overlap=1.00, similarity=0.30; DOI=10.1109/TMC.2020.3033782"
57,DynSTGAT: Dynamic Spatial-Temporal Graph Attention Network for Traffic Signal Control,not downloaded,,,0,DOI=10.1145/3459637.3482254 | https://arxiv.org/pdf/2109.05491 -> HTTP 404 | http://arxiv.org/abs/2109.05491 -> HTML without matching downloadable PDF | https://doi.org/10.1145/3459637.3482254 -> HTTP 403
58,How Attentive are Graph Attention Networks?,downloaded,58_How_Attentive_are_Graph_Attention_Networks.pdf,https://arxiv.org/pdf/2105.14491,699201,"PDF verified; title overlap=1.00, similarity=0.16; DOI=10.1007/978-3-031-01587-8_7"
59,EGAT: Edge-Featured Graph Attention Network,not downloaded,,,0,DOI=10.1007/978-3-030-86362-3_21 | https://doi.org/10.1007/978-3-030-86362-3_21 -> HTML without matching downloadable PDF
60,A Reduction of Imitation Learning and Structured Prediction to No-Regret Online Learning,downloaded,60_A_Reduction_of_Imitation_Learning_and_Structured_Prediction_to_No_Regret_Online_Learning.pdf,https://proceedings.mlr.press/v15/ross11a/ross11a.pdf,1174501,"PDF verified; title overlap=1.00, similarity=0.31; DOI=not found"
61,A Graph Deep Reinforcement Learning Traffic Signal Control for Multiple Intersections Considering Missing Data,not downloaded,,,0,DOI=10.1109/TVT.2024.3444475 | https://doi.org/10.1109/tvt.2024.3444475 -> HTML without matching downloadable PDF | https://doi.org/10.1109/TVT.2024.3444475 -> HTML without matching downloadable PDF
62,Traffic Signal Timing via Deep Reinforcement Learning,not downloaded,,,0,DOI=10.1109/jas.2016.7508798 | https://www.ieee-jas.com/fileZDHXBEN/journal/article/zdhxbywb/2016/3/PDF/20160303.pdf -> HTTP 404 | https://www.ieee-jas.net/en/article/pdf/preview/10.1109/JAS.2016.7508798 -> HTTP 400 | https://doi.org/10.1109/jas.2016.7508798 -> HTML without matching downloadable PDF
63,A Deep Reinforcement Learning Network for Traffic Light Cycle Control,downloaded,63_A_Deep_Reinforcement_Learning_Network_for_Traffic_Light_Cycle_Control.pdf,https://arxiv.org/pdf/1803.11115,549761,"PDF verified; title overlap=1.00, similarity=0.14; DOI=10.1109/TVT.2018.2890726"
64,Dueling Double Deep Q-Network for Adaptive Traffic Signal Control with Low Exhaust Emissions in a Single Intersection,not downloaded,,,0,DOI=10.1088/1757-899x/612/5/052039 | https://doi.org/10.1088/1757-899x/612/5/052039 -> HTML without matching downloadable PDF
65,Intelligent Traffic Signal Control with Deep Reinforcement Learning at Single Intersection,not downloaded,,,0,DOI=10.1145/3467707.3467767 | https://doi.org/10.1145/3467707.3467767 -> HTTP 403
66,Deep Deterministic Policy Gradient for Traffic Signal Control of Single Intersection,not downloaded,,,0,DOI=10.1109/CCDC.2019.8832406 | https://doi.org/10.1109/ccdc.2019.8832406 -> HTML without matching downloadable PDF | https://doi.org/10.1109/CCDC.2019.8832406 -> HTML without matching downloadable PDF
67,IntelliLight: A Reinforcement Learning Approach for Intelligent Traffic Light Control,downloaded,67_IntelliLight_A_Reinforcement_Learning_Approach_for_Intelligent_Traffic_Light_Control.pdf,https://faculty.ist.psu.edu/jessieli/Publications/2018-KDD-IntelliLight.pdf,8682291,"PDF verified; title overlap=1.00, similarity=0.29; DOI=10.1145/3219819.3220096"
68,Vehicle-Level Fairness-Oriented Constrained Multi-Agent Reinforcement Learning for Adaptive Traffic Signal Control,not downloaded,,,0,DOI=10.1109/TITS.2025.3544223 | https://doi.org/10.1109/tits.2025.3544223 -> HTML without matching downloadable PDF | https://doi.org/10.1109/TITS.2025.3544223 -> HTML without matching downloadable PDF
69,Learning Phase Competition for Traffic Signal Control,downloaded,69_Learning_Phase_Competition_for_Traffic_Signal_Control.pdf,https://arxiv.org/pdf/1905.04722,6918235,"PDF verified; title overlap=1.00, similarity=0.21; DOI=10.1145/3357384.3357900"
