reference,title,status,filename,source_url,bytes,notes
80,Expression Might Be Enough: Representing Pressure and Demand for Reinforcement Learning Based Traffic Signal Control,downloaded,080_Expression_Might_Be_Enough_Representing_Pressure_and_Demand_for_Reinforcement_Learning_Based_Traffic_Signal_Control.pdf,https://proceedings.mlr.press/v162/zhang22ah/zhang22ah.pdf,1449007,"PDF verified; title overlap=1.00, similarity=0.29; DOI=not found"
81,AttendLight: Universal Attention-Based Reinforcement Learning Model for Traffic Signal Control,downloaded,081_AttendLight_Universal_Attention_Based_Reinforcement_Learning_Model_for_Traffic_Signal_Control.pdf,https://arxiv.org/pdf/2010.05772,1102235,"PDF verified; title overlap=1.00, similarity=0.19; DOI=10.1109/acai63924.2024.10899594"
82,Adaptive Coordinated Traffic Control for Arterial Intersections Based on Reinforcement Learning,not downloaded,,,0,DOI=10.1109/itsc48978.2021.9564664 | https://doi.org/10.1109/itsc48978.2021.9564664 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/9564393/9564395/09564664.pdf?arnumber=9564664 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/9564664/ -> HTML without matching downloadable PDF
83,Developing Adaptive Traffic Signal Control by Actor-Critic and Direct Exploration Methods,not downloaded,,,0,DOI=10.1680/jtran.17.00085 | https://research.rug.nl/en/publications/developing-adaptive-traffic-signal-control-by-actor-critic-and-di/ -> HTML without matching downloadable PDF | https://www.icevirtuallibrary.com/doi/pdf/10.1680/jtran.17.00085 -> curl download failed | https://doi.org/10.1680/jtran.17.00085 -> curl download failed | https://research.rug.nl/en/publications/0354a130-3496-4ac1-9283-7cb94fbbc1ab -> HTML without matching downloadable PDF | https://hdl.handle.net/11370/0354a130-3496-4ac1-9283-7cb94fbbc1ab -> HTML without matching downloadable PDF | http://www.emerald.com/jtran/article/172/5/289-298/426948 -> curl download failed
84,EMVLight: A Multi-Agent Reinforcement Learning Framework for an Emergency Vehicle Decentralized Routing and Traffic Signal Control System,downloaded,084_EMVLight_A_Multi_Agent_Reinforcement_Learning_Framework_for_an_Emergency_Vehicle_Decentralized_Routing_and_Traffic_.pdf,https://arxiv.org/pdf/2206.13441,8694506,"PDF verified; title overlap=1.00, similarity=0.33; DOI=10.1016/j.trc.2022.103955"
85,Pi-Light: Programmatic Interpretable Reinforcement Learning for Resource-Limited Traffic Signal Control,not downloaded,,,0,DOI=10.1609/aaai.v38i19.30103 | https://ojs.aaai.org/index.php/AAAI/article/view/30103 -> curl download failed | https://ojs.aaai.org/index.php/AAAI/article/download/30103 -> curl download failed | https://ojs.aaai.org/index.php/AAAI/article/download/30103/31946 -> curl download failed | https://doi.org/10.1609/aaai.v38i19.30103 -> curl download failed | https://ojs.aaai.org/index.php/AAAI/article/download/30103/31947 -> curl download failed
86,Enhancing Traffic Signal Control with Composite Deep Intelligence,not downloaded,,,0,DOI=10.1016/j.eswa.2023.123020 | https://doi.org/10.1016/j.eswa.2023.123020 -> HTML without matching downloadable PDF | https://api.elsevier.com/content/article/PII:S0957417423035224?httpAccept=text/xml -> Not PDF (1821 bytes) | https://api.elsevier.com/content/article/PII:S0957417423035224?httpAccept=text/plain -> curl download failed | https://linkinghub.elsevier.com/retrieve/pii/S0957417423035224 -> HTML without matching downloadable PDF
87,Scalable Reinforcement Learning Framework for Traffic Signal Control under Communication Delays,downloaded,087_Scalable_Reinforcement_Learning_Framework_for_Traffic_Signal_Control_under_Communication_Delays.pdf,https://ieeexplore.ieee.org/ielx7/8782711/8889399/10443835.pdf,5861190,"PDF verified; title overlap=1.00, similarity=0.24; DOI=10.1109/ojvt.2024.3368693"
88,FELight: Fairness-Aware Traffic Signal Control via Sample-Efficient Reinforcement Learning,downloaded,088_FELight_Fairness_Aware_Traffic_Signal_Control_via_Sample_Efficient_Reinforcement_Learning.pdf,https://bonaldli.github.io/files/CV_Ziyue_Bonald_LI.pdf,337923,"PDF verified; title overlap=0.60, similarity=0.02; DOI=10.1109/TKDE.2024.3376745"
89,Fuzzy Inference Enabled Deep Reinforcement Learning-Based Traffic Light Control for Intelligent Transportation System,not downloaded,,,0,DOI=10.1109/TITS.2020.2984033 | https://doi.org/10.1109/tits.2020.2984033 -> HTML without matching downloadable PDF | http://xplorestaging.ieee.org/ielx7/6979/9509372/09072340.pdf?arnumber=9072340 -> HTML without matching downloadable PDF | https://ieeexplore.ieee.org/document/9072340/ -> HTML without matching downloadable PDF | https://doi.org/10.1109/TITS.2020.2984033 -> HTML without matching downloadable PDF
